notice_id,errors,flags,got_no_persons,got_nothing,labels,officers
210181,,4,1,,1,1
211144,,,1,,2,1
212208,,,,1,,
212532,,,1,,,2
212760,,,,1,,
213001,,,1,,1,
213862,,,,1,,
214023,,,1,,1,2
214625,,2,1,,1,2
215387,,,,1,,
215527,,,1,,1,
215882,,,1,,,1
216459,,,,1,,
218990,,2,1,,,
221937,,,,1,,
222654,,,,1,,
223072,,,,1,,
223175,,,,1,,
223489,,,,1,,
223727,,,1,,1,
224021,,,,1,,
224169,,,,1,,
224216,,,,1,,
224217,,5,1,,1,1
224397,,,1,,1,
224470,,,,1,,
224860,,,,1,,
225033,,4,1,,,1
225704,,1,1,,,2
226036,,1,1,,,1
227145,,,1,,1,
227262,,,1,,,2
227511,,1,1,,,1
229890,,,,1,,
230556,1,2,1,,1,
230843,,4,1,,,1
230851,,,,1,,
230957,,,,1,,
231961,,,,1,,
232119,,,,1,,
232574,,,,1,,
232635,,,,1,,
233187,,3,1,,,2
233250,,1,1,,,
233826,,,,1,,
234144,,1,1,,,2
236669,,,,1,,
237028,,,1,,,1
237034,,2,1,,1,
237346,,,1,,1,
237566,,4,1,,1,1
238072,,3,1,,1,1
238165,,1,1,,,
241921,,,,1,,
244272,,1,1,,,2
247524,,1,1,,1,
248823,,,1,,2,
249469,,1,1,,,2
249741,,4,1,,1,1
250786,,1,1,,,2
250944,1,3,1,,,
251559,,,,1,,
251591,,,,1,,
251902,,3,1,,2,1
252608,1,1,1,,1,1
252867,,,,1,,
254764,,4,1,,,1
254860,,,,1,,
255694,,1,1,,1,
256134,,,,1,,
258036,,,1,,1,
258844,,1,1,,1,1
259701,,2,1,,1,1
262421,,1,1,,,
262924,,2,1,,1,
263043,,1,1,,,
263885,,3,1,,,1
267482,,4,1,,1,1
274306,,,,1,,
275359,,,,1,,
276523,,1,1,,1,
278416,,1,1,,,1
278568,,,1,,1,
278676,,,,1,,
281233,,,,1,,
284192,,3,1,,,1
284943,,,1,,1,
285254,,,,1,,
288185,,2,1,,,
288445,,,,1,,
290637,,2,1,,1,1
292239,,,,1,,
292281,,,,1,,
296795,,1,1,,1,
298834,,,1,,1,1
298937,,1,1,,1,2
299274,,4,1,,1,1
301170,,1,1,,,
303310,,1,1,,,2
303311,,1,1,,1,
305525,,,,1,,
306772,,4,1,,1,1
306936,,,,1,,
307195,,1,1,,,1
307803,,3,1,,4,1
309455,,,,1,,
309622,,3,1,,,2
309891,,,1,,1,1
312132,,,,1,,
312980,,1,1,,1,
313439,,,,1,,
313502,,,,1,,
317459,,,1,,1,
319746,,,,1,,
320026,,,1,,1,
320395,,,,1,,
320513,,,1,,,1
320702,,3,1,,3,2
321853,,2,1,,1,1
322698,,,,1,,
325417,,1,1,,,2
327251,,,1,,1,
327299,,3,1,,,1
327613,,1,1,,,1
328256,,,,1,,
328505,,,,1,,
328674,,,1,,1,
329193,,,,1,,
329226,,,,1,,
329717,,,,1,,
330026,,,,1,,
330140,,,,1,,
330210,,4,1,,1,
330398,,,1,,1,
331926,,,,1,,
333107,,,,1,,
333156,,,,1,,
333302,,,,1,,
333636,,1,1,,,
339774,,,,1,,
340247,,4,1,,1,2
342910,,,,1,,
346567,,,,1,,
347146,,,1,,3,
349211,,,1,,,2
349469,,,,1,,
349545,,,,1,,
349930,,4,1,,1,1
353009,,1,1,,,
354231,,,,1,,
354657,,3,1,,1,1
